loss      dim      1e-05      3e-05      1e-04      3e-04      1e-03      3e-03   chosen
gkl         2       51.5       58.7       61.6       56.5       34.2       27.8   1e-04
gkl         8       38.8       38.4       34.2       17.4       10.2       -1.2   1e-05 <-EDGE
gkl        32       24.0       23.4       23.2       14.7        6.0        0.5   1e-05 <-EDGE
gkl       128       23.8       16.5       14.5        8.8        nan        nan   1e-05 <-EDGE
is          2       53.5       60.5       59.9       54.2       43.5      -58.0   3e-05
is          8       37.5       36.3       30.1       18.3        3.9       19.1   1e-05 <-EDGE
is         32       23.3       23.2       22.7       14.0        4.9        8.3   1e-05 <-EDGE
is        128       23.4       19.7       18.8       15.9        6.9       10.4   1e-05 <-EDGE
logmse      2       28.2       58.4       72.2       69.8       73.5       68.5   1e-03
logmse      8       51.7       49.7       46.0       40.9       39.3       38.6   1e-05 <-EDGE
logmse     32       39.0       39.3       33.3       34.3       29.4       31.7   3e-05
logmse    128       38.2       36.5       31.0       32.8       30.2       31.3   1e-05 <-EDGE
mse         2       48.8       54.7       57.1       50.6       36.5       24.2   1e-04
mse         8       37.6       37.8       27.9       18.8        2.2       -4.5   3e-05
mse        32       23.3       22.6       18.9        7.1        0.4       -0.6   1e-05 <-EDGE
mse       128       11.3        6.5        5.3        3.5       -0.6       -3.9   1e-05 <-EDGE
quad        2       52.6       60.0       62.1       55.3       45.5       26.8   1e-04
quad        8       38.3       37.1       30.3       22.5       14.0       11.9   1e-05 <-EDGE
quad       32       24.0       23.5       24.2       14.3       13.2       10.2   1e-04
quad      128       23.7       20.4       17.3       14.7       14.2       10.2   1e-05 <-EDGE

wrote chosen_lr.json (20 cells)
